NEWID,Age,Education,Income_AT,Expenses,Housing,Food,Transport,Entertainment,Apparel,Health Spending,Personal Insurance
3722622,50,15,67070.6,10712.333,4708,1300,1226,166,234.3333,940,1818
3722632,65,12,10598,2308.333,1079.667,86.6667,130.667,170,0,668,0
3722662,77,11,13899,4813,1639,823.3333,613,127,0,961,120
3722672,52,13,213320.4,20327.167,11530.667,1560,905,723,0,1550,3191.8334
3722682,67,14,54881.6,9913.067,3950.667,1386.6667,400,2266,180,1280,309.7334
3722693,23,13,11942,2647.533,941,762,336.667,40,53,20,154.8666
3722702,38,15,128398.6,6409.433,1852.667,1820,150,352,100,0,2091.4334
3722712,78,14,25632.4,2344.333,861.333,372.6667,505,524,0,60,0
3722722,50,15,127745,15255.667,6340.333,2600,3027,162,500,56.6667,1976.3334
3722732,32,12,36015,5080,1445,216.6667,200,0,0,808.3333,510
3722742,64,10,2618,2023,656.333,78,40,0,560.6667,28,0
3722762,64,12,118937.2,13329.9,5510.333,3336.6667,2100,202,0,0,2080.9
3722782,51,15,69099,6204.833,750.667,1560,1080,80,0,488.6667,1147.5
3722792,62,16,100895,15560.667,7677.667,1343.3333,4088,320,0,422,1696.3334
3722802,64,15,102718,22303.667,16947.667,1126.6667,346,182,270,1484,1530
3722822,47,11,43366.8,5102.067,2560,1152.6667,200,97,487,0,498.7334
3722832,46,15,134617,18191.167,5518.333,1733.3333,5681,481,293,665,3786.1666
3722842,42,13,105685.4,42193.067,34801.333,1256.6667,2030,100,82,1018.6667,1616.4
3722852,87,13,24612.6,7801.333,818.667,1248,162,10,37,713,0
3722922,29,15,30989,5875.5,2371,1343.3333,901,183,60,480,367.1666
3722942,65,12,15422.2,4307.967,2858,499.6667,108,130,0,288,160.3
3722952,49,16,229662,23199.591,10064,3210,2019,1991,757,1987,3111.5912
3723012,54,10,20611.2,3669.433,1908,1300,38.667,320,0,0,102.7666
3723022,60,12,5825,3096.167,2021.333,606.6667,130,240,44.6667,0,53.5
3723042,60,16,148608,11419.667,3447,1158.3333,410,479,85,648,4360
3723072,33,11,31474,3825.833,1938,173.3333,1146.667,0,0,0,221.1666
3723082,43,12,46700.4,3699.933,1751.333,520,460,0,0,370,598.6
3723092,31,14,63968,7789.333,2532,476.6667,1088,435,537,577.3333,853.3334
3723102,87,12,20448,1575.333,430,953.3333,0,32,0,0,0
3723122,87,10,14040,1144,220,650,0,130,0,0,0
3723142,73,16,27439,11735.5,7476.333,589.3333,730.333,440,139,690.6667,1099.8334
3723152,60,13,55741,6565.333,826,1473.3333,1396,240,0,1600,510
3723162,73,15,24368.8,4978.667,2399,823.3333,453.333,191,0,112,0
3723202,77,12,11474,1169,554,260,185,0,40,90,0
3723232,38,13,18134,4350,2236,476.6667,1255,140,0,0,242.3334
3723242,24,15,18278,1429.5,366.667,520,146.667,0,0,0,229.5
3723252,32,15,60726,14225.167,4535.333,1786.6667,2294.333,882,520,954,2840.8334
3723262,45,15,93983,15756,4081,2753.6667,2903.667,1020,910,1733.3333,1897
3723282,52,15,69336.8,8794.367,3744,1820,1658,152,0,100,967.0334
3723292,44,10,72194.8,11329.267,4316,2383.3333,1594,231,706,0,848.9334
3723322,25,15,67192,6769.333,3309.667,520,694,164,240,693.3333,1058.3334
3723352,66,11,23028,1577,459.667,450.6667,128,90,58,70,0
3723362,42,16,96823,11419.167,3459,1560,1253.333,909,188,80,2102.5
3723382,33,13,63093,9513.333,2853.667,2206.6667,1358.667,210,445,133,2037.3334
3723402,54,15,114309.6,21080.333,8374.333,4268,730,878.333,918.3333,1073,3844.3334
3723422,54,12,24462.2,6716.5,2299.333,520,1535,222,0,1796.6667,343.5
3723432,29,14,114617.8,9734.167,3179.333,1386.6667,2425,558,0,0,1785.1666
3723472,57,13,23808,2608.5,651,650,119.667,112,25,581,424.8334
3723482,53,13,64961.6,15714.433,5616.333,3125,3264.333,585,1000,0,680.7666
3723512,71,13,17224.8,1597.667,510,606.6667,210,0,0,219,0
3723522,59,16,94993,20178.167,9521.667,3321.3333,4250,794,100,450,1389.8334
3723552,67,12,26540.8,7793,1984,910,754,112,244,1900,957
3723582,37,16,42998,6916.667,2791,1384.6667,670.667,207,415.6667,214,842
3723602,53,11,330,5050.5,3572,1386.6667,0,88,0,0,3.8334
3723612,52,16,196817.6,28970.058,10711.5,4235.3333,3859,2510,160,3042,2976.2244
3723622,56,16,141661.2,20012.724,5020.5,1934.6667,1768,200,0,7350,3739.5578
3723632,35,16,100885,13070,4742,1095.6667,2203,460,0,2526,1733.3334
3723652,66,16,69430,4684,1028.333,1170,470,260,170,228,529.3334
3723672,87,12,28800,4884.5,1871,2036.6667,80,30,36,500,318.8334
3723692,45,13,123033,14465.167,1459.333,2310,4728,355,1050,1020,3119.5002
3723714,41,13,179405.3,14320.233,10727.667,953.3333,1193.333,84,80,594,687.9
3723722,32,14,128956.4,14902.333,2547.667,3033.3333,752.667,3060,0,1400,2965.3334
3723752,58,16,89472,15388.5,3305.333,2041,2172.333,362,176,2334,1494.5
3733992,49,15,125427.6,11486.529,4530.333,1603.3333,1130,320,971,1060,1501.8622
3734002,69,16,52406.2,6837,1881.333,1823.3333,693,316,0,1225,0
3734032,80,11,9696,1269.333,489.667,606.6667,50,43,0,30,0
3734052,21,13,1292,2171.333,1462,325,96.667,122,83,0,7.6667
